id;start_date;end_date;language
1;2019-11-12T12:33:10;2019-11-12T05:41:27;FRENCH
2;2019-11-11T23:09:26;2019-11-12T11:55:06;ENGLISH
3;2019-11-11T22:35:52;2019-11-12T00:32:12;FRENCH
4;2019-11-12T10:21:42;2019-11-12T02:43:21;ENGLISH
5;2019-11-12T13:31:17;2019-11-12T14:06:15;FRENCH
6;2019-11-11T19:46:35;2019-11-11T16:47:57;SPANISH
7;2019-11-12T04:56:38;2019-11-12T07:59:46;ENGLISH
8;2019-11-12T06:44:35;2019-11-12T15:09:14;FRENCH
9;2019-11-12T07:19:00;2019-11-12T15:56:24;ENGLISH
10;2019-11-12T00:29:55;2019-11-11T23:53:32;SPANISH
